,State,Lat,Long_,Confirmed,Deaths,Recovered,Active
0,Alabama,32.806671,-86.79113,587.0,4.0,0.0,0.0
1,Alaska,61.370716,-152.404419,58.0,1.0,0.0,0.0
3,Arizona,33.729759,-111.431221,665.0,13.0,0.0,0.0
4,Arkansas,34.969704,-92.373123,381.0,3.0,0.0,0.0
5,California,36.116203,-119.681564,4657.0,94.0,0.0,0.0
6,Colorado,39.059811,-105.311104,1433.0,27.0,0.0,0.0
7,Connecticut,41.597782,-72.755371,1291.0,27.0,0.0,0.0
8,Delaware,39.318523,-75.507141,163.0,2.0,0.0,0.0
10,District of Columbia,38.897438,-77.026817,271.0,3.0,0.0,0.0
11,Florida,27.766279,-81.686783,2900.0,35.0,0.0,0.0
12,Georgia,33.040619,-83.643074,2000.0,64.0,0.0,0.0
15,Hawaii,21.094318,-157.498337,106.0,0.0,0.0,0.0
16,Idaho,44.240459,-114.478828,205.0,3.0,0.0,0.0
17,Illinois,40.349457,-88.986137,3024.0,34.0,0.0,0.0
18,Indiana,39.849426,-86.258278,979.0,25.0,0.0,0.0
19,Iowa,42.011539,-93.210526,235.0,3.0,0.0,0.0
20,Kansas,38.5266,-96.726486,206.0,4.0,0.0,0.0
21,Kentucky,37.66814,-84.670067,301.0,7.0,0.0,0.0
22,Louisiana,31.169546,-91.867805,2744.0,119.0,0.0,0.0
23,Maine,44.693947,-69.381927,168.0,1.0,0.0,0.0
24,Maryland,39.063946,-76.802101,775.0,5.0,0.0,0.0
25,Massachusetts,42.230171,-71.530106,3240.0,35.0,0.0,0.0
26,Michigan,43.326618,-84.536095,3634.0,92.0,0.0,0.0
27,Minnesota,45.694454,-93.900192,396.0,4.0,0.0,0.0
28,Mississippi,32.741646,-89.678696,579.0,8.0,0.0,0.0
29,Missouri,38.456085,-92.288368,666.0,9.0,0.0,0.0
30,Montana,46.921925,-110.454353,109.0,1.0,0.0,0.0
31,Nebraska,41.12537,-98.268082,82.0,0.0,0.0,0.0
32,Nevada,38.313515,-117.055374,536.0,10.0,0.0,0.0
33,New Hampshire,43.452492,-71.563896,158.0,1.0,0.0,0.0
34,New Jersey,40.298904,-74.521011,8825.0,108.0,0.0,0.0
35,New Mexico,34.840515,-106.248482,136.0,1.0,0.0,0.0
36,New York,42.165726,-74.948051,44876.0,527.0,0.0,0.0
37,North Carolina,35.630066,-79.806419,887.0,4.0,0.0,0.0
38,North Dakota,47.528912,-99.784012,68.0,1.0,0.0,0.0
40,Ohio,40.388783,-82.764915,1137.0,19.0,0.0,0.0
41,Oklahoma,35.565342,-96.928917,322.0,8.0,0.0,0.0
42,Oregon,44.572021,-122.070938,416.0,12.0,0.0,0.0
43,Pennsylvania,40.590752,-77.209755,2345.0,22.0,0.0,0.0
46,Rhode Island,41.680893,-71.51178,203.0,0.0,0.0,0.0
47,South Carolina,33.856892,-80.945007,542.0,13.0,0.0,0.0
48,South Dakota,44.299782,-99.438828,58.0,1.0,0.0,0.0
49,Tennessee,35.747845,-86.692345,1318.0,6.0,0.0,0.0
50,Texas,31.054487,-97.563461,1937.0,26.0,0.0,0.0
51,Utah,40.150032,-111.862434,472.0,1.0,0.0,0.0
52,Vermont,44.045876,-72.710686,184.0,10.0,0.0,0.0
54,Virginia,37.769337,-78.169968,607.0,10.0,0.0,0.0
55,Washington,47.400902,-121.490494,3477.0,157.0,0.0,0.0
56,West Virginia,38.491226,-80.954453,76.0,0.0,0.0,0.0
57,Wisconsin,44.268543,-89.616508,926.0,14.0,0.0,0.0
58,Wyoming,42.755966,-107.30249,70.0,0.0,0.0,0.0
